US,city_id,type,category,cause,deaths,pop,prop0,prop15,prop40,prop65
1,3,Small Groups,Cancer,Mouth and oropharynx cancers,15,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Oesophagus cancer,17,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Other Cancer,119,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Ovary cancer,19,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Pancreas cancer,53,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Prostate cancer,40,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Stomach cancer,33,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,"Trachea, bronchus, lung cancers",143,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Infectious Diseases,183,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Maternal Conditions,Suppressed,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Nutritional Conditions,21,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Perinatal Conditions,35,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Respiratory Infections,108,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,STDs and HIV/AIDS,10,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,CMNN,Tuberculosis,Suppressed,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Injuries,Other unintentional injuries,70,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Injuries,Road traffic accidents,95,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Injuries,Suicide,50,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Injuries,Violence,27,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Cardiovascular diseases,1268,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Cirrhosis of the liver,147,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Congenital anomalies,37,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,225,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Digestive Diseases,98,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Genitourinary diseases,153,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Neuropsychiatric disorders,433,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Other NCD,35,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,NCDs,Respiratory diseases,260,830178,0.284,0.365,0.25,0.102
0,4,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,3856,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,Cancer,Cancer,499,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,CMNN,CMNN,382,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,Injuries,Homicides,144,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,Injuries,Non-violent injuries,326,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,Injuries,Suicides,64,641534,0.289,0.417,0.236,0.058
0,4,Large Groups,NCDs,NCDs,2441,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Bladder cancer,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Brain and nervous system cancers,17,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Breast cancer,45,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Cervix uteri cancer,21,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Colon and rectum cancers,36,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Corpus uteri cancer,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Gallbladder and biliary tract cancer,13,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Kidney and ureter cancer,16,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Larynx cancer,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Leukaemia,26,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Liver cancer,28,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,"Lymphomas, multiple myeloma",29,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Melanoma and other skin cancers,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Mouth and oropharynx cancers,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Oesophagus cancer,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Other Cancer,79,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Ovary cancer,11,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Pancreas cancer,27,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Prostate cancer,38,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,Stomach cancer,31,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Cancer,"Trachea, bronchus, lung cancers",44,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Infectious Diseases,64,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Maternal Conditions,Suppressed,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Nutritional Conditions,22,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Perinatal Conditions,154,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Respiratory Infections,95,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,STDs and HIV/AIDS,28,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,CMNN,Tuberculosis,11,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Injuries,Other unintentional injuries,175,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Injuries,Road traffic accidents,151,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Injuries,Suicide,64,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,Injuries,Violence,144,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Cardiovascular diseases,1053,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Cirrhosis of the liver,119,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Congenital anomalies,73,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,479,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Digestive Diseases,224,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Genitourinary diseases,128,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Neuropsychiatric disorders,80,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Other NCD,58,641534,0.289,0.417,0.236,0.058
0,4,Small Groups,NCDs,Respiratory diseases,227,641534,0.289,0.417,0.236,0.058
0,5,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,5764,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,Cancer,Cancer,907,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,CMNN,CMNN,472,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,Injuries,Homicides,282,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,Injuries,Non-violent injuries,458,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,Injuries,Suicides,47,899912,0.265,0.431,0.242,0.063
0,5,Large Groups,NCDs,NCDs,3597,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Bladder cancer,16,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Brain and nervous system cancers,29,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Breast cancer,63,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Cervix uteri cancer,42,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Colon and rectum cancers,77,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Corpus uteri cancer,Suppressed,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Gallbladder and biliary tract cancer,20,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Kidney and ureter cancer,23,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Larynx cancer,Suppressed,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Leukaemia,46,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Liver cancer,43,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,"Lymphomas, multiple myeloma",54,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Melanoma and other skin cancers,15,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Mouth and oropharynx cancers,13,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Oesophagus cancer,Suppressed,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Other Cancer,150,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Ovary cancer,28,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Pancreas cancer,49,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Prostate cancer,73,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,Stomach cancer,64,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Cancer,"Trachea, bronchus, lung cancers",76,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Infectious Diseases,93,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Maternal Conditions,Suppressed,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Nutritional Conditions,89,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Perinatal Conditions,92,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Respiratory Infections,149,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,STDs and HIV/AIDS,32,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,CMNN,Tuberculosis,Suppressed,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Injuries,Other unintentional injuries,324,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Injuries,Road traffic accidents,134,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Injuries,Suicide,47,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,Injuries,Violence,282,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Cardiovascular diseases,1302,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Cirrhosis of the liver,189,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Congenital anomalies,76,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,949,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Digestive Diseases,319,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Genitourinary diseases,158,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Neuropsychiatric disorders,165,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Other NCD,73,899912,0.265,0.431,0.242,0.063
0,5,Small Groups,NCDs,Respiratory diseases,366,899912,0.265,0.431,0.242,0.063
0,6,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,6470,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,Cancer,Cancer,1368,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,CMNN,CMNN,867,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,Injuries,Homicides,78,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,Injuries,Non-violent injuries,167,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,Injuries,Suicides,81,637599,0.215,0.354,0.283,0.149
0,6,Large Groups,NCDs,NCDs,3909,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Bladder cancer,34,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Brain and nervous system cancers,21,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Breast cancer,135,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Cervix uteri cancer,17,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Colon and rectum cancers,156,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Corpus uteri cancer,29,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Gallbladder and biliary tract cancer,22,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Kidney and ureter cancer,38,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Larynx cancer,18,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Leukaemia,39,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Liver cancer,35,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,"Lymphomas, multiple myeloma",54,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Melanoma and other skin cancers,16,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Mouth and oropharynx cancers,19,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Oesophagus cancer,35,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Other Cancer,230,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Ovary cancer,24,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Pancreas cancer,101,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Prostate cancer,71,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,Stomach cancer,49,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Cancer,"Trachea, bronchus, lung cancers",227,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Infectious Diseases,298,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Maternal Conditions,Suppressed,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Nutritional Conditions,27,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Perinatal Conditions,35,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Respiratory Infections,463,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,STDs and HIV/AIDS,34,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,CMNN,Tuberculosis,Suppressed,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Injuries,Other unintentional injuries,102,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Injuries,Road traffic accidents,65,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Injuries,Suicide,81,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,Injuries,Violence,78,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Cardiovascular diseases,2253,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Cirrhosis of the liver,45,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Congenital anomalies,31,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,184,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Digestive Diseases,255,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Genitourinary diseases,210,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Neuropsychiatric disorders,132,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Other NCD,69,637599,0.215,0.354,0.283,0.149
0,6,Small Groups,NCDs,Respiratory diseases,730,637599,0.215,0.354,0.283,0.149
1,7,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,3705,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,Cancer,Cancer,816,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,CMNN,CMNN,230,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,Injuries,Homicides,23,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,Injuries,Non-violent injuries,172,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,Injuries,Suicides,102,441469,0.186,0.336,0.331,0.146
1,7,Large Groups,NCDs,NCDs,2363,441469,0.186,0.336,0.331,0.146
1,7,Small Groups,Cancer,Bladder cancer,21,441469,0.186,0.336,0.331,0.146
1,7,Small Groups,Cancer,Brain and nervous system cancers,21,441469,0.186,0.336,0.331,0.146
1,7,Small Groups,Cancer,Breast cancer,61,441469,0.186,0.336,0.331,0.146
1,7,Small Groups,Cancer,Cervix uteri cancer,Suppressed,441469,0.186,0.336,0.331,0.146
1,7,Small Groups,Cancer,Colon and rectum cancers,74,441469,0.186,0.336,0.331,0.146
