category4,name,us,lac,br,mx,lacnobrmx
Cancer,Kidney and ureter cancer,0.94 (0.93;0.96),1.06 (1.02;1.10),1.03 (0.98;1.09),1.06 (0.99;1.13),1.09 (1.02;1.17)
Cancer,Bladder cancer,0.99 (0.97;1.01),1.07 (1.03;1.11),1.05 (1.00;1.10),1.10 (1.00;1.20),1.08 (0.99;1.16)
Cancer,Brain and nervous system cancers,0.97 (0.96;0.99),1.01 (0.98;1.03),0.99 (0.96;1.02),1.01 (0.95;1.07),1.01 (0.95;1.07)
Cancer,Gallbladder and biliary tract cancer,1.00 (0.96;1.03),1.04 (1.00;1.08),1.10 (1.04;1.15),1.05 (0.97;1.12),0.98 (0.90;1.06)
Cancer,Larynx cancer,0.96 (0.91;1.00),1.05 (1.00;1.10),1.05 (0.99;1.10),0.97 (0.87;1.07),1.10 (1.00;1.20)
Cancer,"Lymphomas, multiple myeloma",0.97 (0.96;0.98),1.07 (1.04;1.09),1.08 (1.04;1.12),1.06 (1.00;1.11),1.06 (1.02;1.11)
Cancer,Leukaemia,0.97 (0.95;0.98),1.02 (1.00;1.04),1.01 (0.98;1.04),1.03 (0.98;1.08),1.03 (0.99;1.07)
NCDs,Diabetes mellitus and other endocrine disorders,0.93 (0.90;0.95),1.00 (0.97;1.03),0.98 (0.93;1.03),1.02 (0.97;1.07),1.00 (0.96;1.05)
NCDs,Neuropsychiatric disorders,0.96 (0.94;0.98),1.01 (0.98;1.04),1.01 (0.98;1.05),1.04 (0.98;1.09),1.00 (0.93;1.06)
NCDs,Other NCD,0.90 (0.88;0.92),1.06 (1.03;1.10),1.09 (1.04;1.14),1.10 (1.05;1.15),1.02 (0.94;1.10)
NCDs,Cardiovascular diseases,0.95 (0.93;0.96),1.00 (0.98;1.02),1.00 (0.98;1.02),1.01 (0.97;1.04),0.99 (0.96;1.02)
NCDs,Respiratory diseases,0.90 (0.88;0.92),1.00 (0.97;1.02),0.97 (0.94;1.00),1.04 (0.99;1.09),1.00 (0.95;1.05)
NCDs,Digestive Diseases,0.91 (0.89;0.93),1.00 (0.98;1.02),1.01 (0.98;1.04),1.06 (1.02;1.11),0.94 (0.90;0.99)
NCDs,Cirrhosis of the liver,0.96 (0.93;0.99),0.97 (0.94;1.00),0.96 (0.93;1.00),0.98 (0.91;1.06),1.00 (0.94;1.05)
NCDs,Genitourinary diseases,0.92 (0.88;0.95),0.99 (0.96;1.02),0.99 (0.95;1.03),1.05 (1.00;1.10),0.97 (0.91;1.02)
NCDs,Congenital anomalies,0.93 (0.91;0.96),1.02 (1.00;1.04),1.02 (0.99;1.04),1.04 (1.00;1.08),1.02 (0.97;1.07)
Injuries,Road traffic accidents,0.88 (0.85;0.91),0.89 (0.86;0.92),0.89 (0.85;0.92),0.92 (0.84;1.01),0.85 (0.79;0.91)
Injuries,Other unintentional injuries,0.94 (0.92;0.97),0.96 (0.93;0.99),0.99 (0.95;1.03),0.96 (0.90;1.02),0.93 (0.87;0.99)
Injuries,Suicide,0.94 (0.92;0.97),0.88 (0.84;0.92),0.88 (0.83;0.93),0.91 (0.82;1.00),0.87 (0.79;0.95)
Injuries,Violence,1.12 (1.07;1.18),1.10 (1.04;1.17),1.17 (1.09;1.25),0.97 (0.80;1.13),1.01 (0.91;1.12)
